date,time,ID,trial,timepoint,bin,tank,treatment,diameter,consumed,pycno,notes,bucket
2020-09-13,20:00:00,1_10,1,2,10,A,empty,76,2.1,no,NA,empty
2020-09-13,20:00:00,1_4,1,2,4,A,empty,76,0,no,NA,empty
2020-09-13,20:00:00,1_3,1,2,3,A,empty,68,0.4,no,NA,empty
2020-09-13,20:00:00,1_2,1,2,2,A,empty,65,1.7,no,NA,empty
2020-09-13,20:00:00,1_17,1,2,17,A,empty,72,0,no,NA,empty
2020-09-13,20:00:00,1_14,1,2,14,B,empty,69,3.4,no,NA,empty
2020-09-13,20:00:00,1_13,1,2,13,B,empty,66,0,no,NA,empty
2020-09-13,20:00:00,1_16,1,2,16,B,empty,71,0.1,no,NA,empty
2020-09-13,20:00:00,1_15,1,2,15,B,empty,74,3,no,NA,empty
2020-09-13,20:00:00,1_12,1,2,12,B,empty,75,3.3,no,NA,empty
2020-09-13,20:00:00,1_1,1,2,1,C,pycno,75,0.1,yes,NA,pycno
2020-09-13,20:00:00,1_5,1,2,5,C,pycno,68,0,yes,NA,pycno
2020-09-13,20:00:00,1_7,1,2,7,C,pycno,65,0,yes,NA,pycno
2020-09-13,20:00:00,1_6,1,2,6,C,pycno,78,1,yes,NA,pycno
2020-09-13,20:00:00,1_18,1,2,18,C,pycno,61,0,yes,NA,pycno
2020-09-14,07:50:00,1_10,1,3,10,A,empty,76,1.1,no,NA,empty
2020-09-14,07:50:00,1_4,1,3,4,A,empty,76,0,no,"escaped, returned to bin",empty
2020-09-14,07:50:00,1_3,1,3,3,A,empty,68,2.8,no,NA,empty
2020-09-14,07:50:00,1_2,1,3,2,A,empty,65,0.1,no,"escaped, returned to bin",empty
2020-09-14,07:50:00,1_17,1,3,17,A,empty,72,0,no,NA,empty
2020-09-14,07:50:00,1_14,1,3,14,B,empty,69,5,no,NA,empty
2020-09-14,07:50:00,1_13,1,3,13,B,empty,66,4.2,no,NA,empty
2020-09-14,07:50:00,1_16,1,3,16,B,empty,71,0.3,no,"escaped, returned to bin",empty
2020-09-14,07:50:00,1_15,1,3,15,B,empty,74,3.5,no,was in the process of escaping,empty
2020-09-14,07:50:00,1_12,1,3,12,B,empty,75,2.5,no,NA,empty
2020-09-14,07:50:00,1_1,1,3,1,C,pycno,75,0.1,yes,NA,pycno
2020-09-14,07:50:00,1_5,1,3,5,C,pycno,68,0,yes,NA,pycno
2020-09-14,07:50:00,1_7,1,3,7,C,pycno,65,0,yes,NA,pycno
2020-09-14,07:50:00,1_6,1,3,6,C,pycno,78,2.9,yes,NA,pycno
2020-09-14,07:50:00,1_18,1,3,18,C,pycno,61,0,yes,NA,pycno
2020-09-14,14:00:00,1_10,1,4,10,A,empty,76,1.1,no,NA,empty
2020-09-14,14:00:00,1_4,1,4,4,A,empty,76,4.4,no,NA,empty
2020-09-14,14:00:00,1_3,1,4,3,A,empty,68,2.5,no,NA,empty
2020-09-14,14:00:00,1_2,1,4,2,A,empty,65,0,no,NA,empty
2020-09-14,14:00:00,1_17,1,4,17,A,empty,72,0,no,NA,empty
2020-09-14,14:00:00,1_14,1,4,14,B,empty,69,1.9,no,NA,empty
2020-09-14,14:00:00,1_13,1,4,13,B,empty,66,1.5,no,NA,empty
2020-09-14,14:00:00,1_16,1,4,16,B,empty,71,0.1,no,NA,empty
2020-09-14,14:00:00,1_15,1,4,15,B,empty,74,0.9,no,NA,empty
2020-09-14,14:00:00,1_12,1,4,12,B,empty,75,2.9,no,NA,empty
2020-09-14,14:00:00,1_1,1,4,1,C,pycno,75,0,yes,NA,pycno
2020-09-14,14:00:00,1_5,1,4,5,C,pycno,68,0,yes,NA,pycno
2020-09-14,14:00:00,1_7,1,4,7,C,pycno,65,0,yes,NA,pycno
2020-09-14,14:00:00,1_6,1,4,6,C,pycno,78,2.3,yes,NA,pycno
2020-09-14,14:00:00,1_18,1,4,18,C,pycno,61,0,yes,NA,pycno
2020-09-14,19:45:00,1_10,1,5,10,A,empty,76,5.3,no,NA,empty
2020-09-14,19:45:00,1_4,1,5,4,A,empty,76,3.5,no,NA,empty
2020-09-14,19:45:00,1_3,1,5,3,A,empty,68,4.1,no,NA,empty
2020-09-14,19:45:00,1_2,1,5,2,A,empty,65,0.3,no,NA,empty
2020-09-14,19:45:00,1_17,1,5,17,A,empty,72,1.5,no,NA,empty
2020-09-14,19:45:00,1_14,1,5,14,B,empty,69,3.7,no,NA,empty
2020-09-14,19:45:00,1_13,1,5,13,B,empty,66,4.6,no,NA,empty
2020-09-14,19:45:00,1_16,1,5,16,B,empty,71,0,no,"visual measurement error gave negative number, changed to 0",empty
2020-09-14,19:45:00,1_15,1,5,15,B,empty,74,4.7,no,NA,empty
2020-09-14,19:45:00,1_12,1,5,12,B,empty,75,0.7,no,NA,empty
2020-09-14,19:45:00,1_1,1,5,1,C,pycno,75,2.6,yes,NA,pycno
2020-09-14,19:45:00,1_5,1,5,5,C,pycno,68,0,yes,NA,pycno
2020-09-14,19:45:00,1_7,1,5,7,C,pycno,65,0,yes,NA,pycno
2020-09-14,19:45:00,1_6,1,5,6,C,pycno,78,4.9,yes,NA,pycno
2020-09-14,19:45:00,1_18,1,5,18,C,pycno,61,0.6,yes,NA,pycno
2020-09-15,07:40:00,1_10,1,6,10,A,empty,76,0.8,no,NA,empty
2020-09-15,07:40:00,1_4,1,6,4,A,empty,76,6.9,no,NA,empty
2020-09-15,07:40:00,1_3,1,6,3,A,empty,68,3.4,no,NA,empty
2020-09-15,07:40:00,1_2,1,6,2,A,empty,65,0,no,NA,empty
2020-09-15,07:40:00,1_17,1,6,17,A,empty,72,0.3,no,NA,empty
2020-09-15,07:40:00,1_14,1,6,14,B,empty,69,2,no,NA,empty
2020-09-15,07:40:00,1_13,1,6,13,B,empty,66,3.4,no,NA,empty
2020-09-15,07:40:00,1_16,1,6,16,B,empty,71,0,no,NA,empty
2020-09-15,07:40:00,1_15,1,6,15,B,empty,74,1,no,NA,empty
2020-09-15,07:40:00,1_12,1,6,12,B,empty,75,12.7,no,NA,empty
2020-09-15,07:40:00,1_1,1,6,1,C,pycno,75,4.4,yes,NA,pycno
2020-09-15,07:40:00,1_5,1,6,5,C,pycno,68,2.8,yes,NA,pycno
2020-09-15,07:40:00,1_7,1,6,7,C,pycno,65,0,yes,NA,pycno
2020-09-15,07:40:00,1_6,1,6,6,C,pycno,78,1,yes,NA,pycno
